1000	536
1004	1072
1019	1608
1033	2144
1047	2680
1061	3216
1075	3752
1089	4288
1103	4824
1117	5360
1131	5896
1145	6432
1159	6968
1173	7504
1187	8040
1201	8576
1215	9112
1229	9648
1243	10184
1257	10720
1271	11256
1285	11792
1299	12328
1313	12864
1327	13400
1341	13936
1355	14472
1369	15008
1383	15544
1397	16080
1411	16616
1425	17152
1439	17688
1453	18224
1467	18760
1481	19296
1495	19832
1509	20368
1523	20904
1537	21440
1551	21976
1565	22512
1579	23048
1593	23584
1607	24120
1621	24656
1635	25192
1649	25728
1663	26264
1677	26800
1691	27336
1705	27872
1719	28408
1733	28944
1747	29480
1761	30016
1775	30552
1789	31088
1803	31624
1817	32160
1831	32696
1845	33232
1859	33768
1873	34304
1887	34840
1901	35376
1915	35912
1929	36448
1943	36984
1957	37520
1971	38056
1985	38592
1999	39128
